Term	UnitsName	UnitsTypeCV	UnitsAbbreviation	UnitsLink	limnoflag	unitabbv
pied	Pied	Length	pied	http://unitsofmeasure.org/ucum.html#para-42	NA	pied
planckLength	Planck Length	Length		http://qudt.org/vocab/unit#PlanckLength	NA	
point	Point	Length	pnt	http://qudt.org/vocab/unit#Point; http://unitsofmeasure.org/ucum.html#para-42	NA	pnt
pole	Pole	Length		http://www.unidata.ucar.edu/software/udunits/	NA	
pouce	Pouce	Length	pouce	http://unitsofmeasure.org/ucum.html#para-42	NA	pouce
printersPica	Printers Pica	Length	pca_pr	http://unitsofmeasure.org/ucum.html#para-42; http://www.unidata.ucar.edu/software/udunits/	NA	pcapr
printersPoint	Printers Point	Length	pnt_pr	http://unitsofmeasure.org/ucum.html#para-42; http://www.unidata.ucar.edu/software/udunits/	NA	pntpr
ramden'SChain	Ramden's Chain	Length	rch_us	http://unitsofmeasure.org/ucum.html#para-35	NA	rchus
rod	Rod	Length	rd	http://qudt.org/vocab/unit#Rod; http://unitsofmeasure.org/ucum.html#para-35; http://www.unidata.ucar.edu/software/udunits/	NA	rd
rod,British	Rod, British	Length	rd_br	http://unitsofmeasure.org/ucum.html#para-36	NA	rdbr
smoot	Smoot	Length	smoot	http://unitsofmeasure.org/ucum.html#para-47	NA	smoot
yard	Yard	Length	yd_i	http://qudt.org/vocab/unit#Yard; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/	NA	ydi
yard,British	Yard, British	Length	yd_br	http://unitsofmeasure.org/ucum.html#para-36	NA	ydbr
yard,UsSurvey	Yard, US Survey 	Length	yd_us	http://unitsofmeasure.org/ucum.html#para-35; http://www.unidata.ucar.edu/software/udunits/	NA	ydus
btuFoot	Btu Foot	Length energy	Btu-ft	http://qudt.org/vocab/unit#BtuFoot	NA	btuft
btuInch	Btu Inch	Length energy	Btu-in	http://qudt.org/vocab/unit#BtuInch	NA	btuin
megaelectronvoltFemtometer	Megaelectronvolt Femtometer	Length energy	MeV fm	http://qudt.org/vocab/unit#MegaElectronVoltFemtometer	NA	mevfm
meterPerMeter	Meter per Meter	Length fraction	-	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	
percentSlope	Percent Slope	Length fraction	%slope	http://unitsofmeasure.org/ucum.html#para-44	NA	percslope
microgramMeterPerLiter	Microgram Meter per Liter	Length integrated mass concentration	µg m/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	µgmpl
meterKilogram	Meter Kilogram	Length mass	m-kg	http://qudt.org/vocab/unit#MeterKilogram	NA	mkg
jouleMeterPerMole	Joule Meter per Mole	Length molar energy	J m mol^-1	http://qudt.org/vocab/unit#JouleMeterPerMole	NA	jmmol1
perTeslaMeter	Per Tesla Meter	Length per magnetic flux	m^-1 T^-1	http://qudt.org/vocab/unit#PerTeslaMeter	NA	m1t1
degreeCelsiusCentimeter	Degree Celsius Centimeter	Length temperature	cm-degC	http://qudt.org/vocab/unit#DegreeCelsiusCentimeter	NA	cmdegc
meterKelvin	Meter Kelvin	Length temperature	m K	http://qudt.org/vocab/unit#MeterKelvin	NA	mk
centimeterSecondDegreeCelsius	Centimeter Second Degree Celsius	Length temperature time	cm-s-degC	http://qudt.org/vocab/unit#CentimeterSecondDegreeCelsius	NA	cmsdegc
bel	Bel	Level	B	http://unitsofmeasure.org/ucum.html#para-46	NA	b
bel10Nanovolt	Bel 10 Nanovolt	Level	B10.nV	http://unitsofmeasure.org/ucum.html#para-46	NA	b10nv
belKilowatt	Bel Kilowatt	Level	BkW	http://unitsofmeasure.org/ucum.html#para-46	NA	bkw
belMicrovolt	Bel Microvolt	Level	BuV	http://unitsofmeasure.org/ucum.html#para-46	NA	buv
belMillivolt	Bel Millivolt	Level	BmV	http://unitsofmeasure.org/ucum.html#para-46	NA	bmv
belSoundPressure	Bel Sound Pressure	Level	BSPL	http://unitsofmeasure.org/ucum.html#para-46; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	bspl
belVolt	Bel Volt	Level	BV	http://unitsofmeasure.org/ucum.html#para-46; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	bv
belWatt	Bel Watt	Level	BW	http://unitsofmeasure.org/ucum.html#para-46; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	bw
bm	Bm	Level		http://www.unidata.ucar.edu/software/udunits/	NA	
bv	Bv	Level		https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	
bz	Bz	Level		http://www.unidata.ucar.edu/software/udunits/	NA	
decibel	Decibel	Level	dB	http://qudt.org/vocab/unit#Decibel	NA	db
decibelCarrierUnit	Decibel Carrier Unit	Level	dBc	http://qudt.org/vocab/unit#DecibelCarrier	NA	dbc
decibelMiliwatt	Decibel miliWatt	Level	dBm	http://qudt.org/vocab/unit#DecibelReferredToOneMilliwatt	NA	dbm
neper	Neper	Level	Np	http://unitsofmeasure.org/ucum.html#para-46	NA	np
centimeterPerSecondSquared	Centimeter per Second Squared	Linear acceleration		http://qudt.org/vocab/unit#CentimeterPerSecondSquared	NA	
footPerSecondSquared	Foot per Second Squared	Linear acceleration	ft/s^2	http://qudt.org/vocab/unit#FootPerSecondSquared	NA	ftps2
gal	Gal	Linear acceleration	Gal	http://qudt.org/vocab/unit#Gal; http://unitsofmeasure.org/ucum.html#para-33	NA	gal
gravity	Gravity	Linear acceleration	g	http://qudt.org/vocab/unit#Gravity; http://unitsofmeasure.org/ucum.html#para-32; http://www.unidata.ucar.edu/software/udunits/	NA	g
inchPerSecondSquared	Inch per Second Squared	Linear acceleration	in/s^2	http://qudt.org/vocab/unit#InchPerSecondSquared	NA	inps2
knotPerSecond	Knot per Second	Linear acceleration	kt/s	http://qudt.org/vocab/unit#KnotPerSecond	NA	ktps
meterPerSecondSquared	Meter per Second Squared	Linear acceleration	m/s^2	http://qudt.org/vocab/unit#MeterPerSecondSquared	NA	mps2
microgravity	Microgravity	Linear acceleration	microG	http://qudt.org/vocab/unit#Microgravity	NA	microg
milligravity	Milligravity	Linear acceleration	mG	http://qudt.org/vocab/unit#Milligravity	NA	mg
kiloelectronvoltPerMicrometer	KiloelectronVolt per Micrometer	Linear energy transfer	keV/microM	http://qudt.org/vocab/unit#KiloElectronVoltPerMicrometer	NA	kevpmicrom
megaelectronvoltPerCentimeter	Megaelectronvolt per Centimeter	Linear energy transfer	MeV/cm	http://qudt.org/vocab/unit#MegaElectronVoltPerCentimeter	NA	mevpcm
kilogramMeterPerSecond	Kilogram Meter per Second	Linear momentum	kg-m/s	http://qudt.org/vocab/unit#KilogramMeterPerSecond	NA	kgmps
newtonSeconds	Newton Seconds	Linear momentum	N-s		NA	ns
planckMomentum	Planck Momentum	Linear momentum		http://qudt.org/vocab/unit#PlanckMomentum	NA	
meterPerKelvin	Meter per Kelvin	Linear thermal expansion		http://qudt.org/vocab/unit#MeterPerKelvin	NA	
centimeterPerHour	Centimeter per Hour	Linear velocity	cm/hr	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	cmphr
centimeterPerSecond	Centimeter per Second	Linear velocity		http://qudt.org/vocab/unit#CentimeterPerSecond; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	
footPerHour	Foot per Hour	Linear velocity	ft/hr	http://qudt.org/vocab/unit#FootPerHour	NA	ftphr
footPerMinute	Foot per Minute	Linear velocity	ft/min	http://qudt.org/vocab/unit#FootPerMinute	NA	ftpmin
footPerSecond	Foot per Second	Linear velocity	ft/s	http://qudt.org/vocab/unit#FootPerSecond; http://qwwebservices.usgs.gov/service-domains.html	NA	ftps
inchPerDay	Inch per Day	Linear velocity	in/d	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	inpd
inchPerHour	Inch per Hour	Linear velocity	in/hr	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	inphr
inchPerSecond	Inch per Second	Linear velocity		http://qudt.org/vocab/unit#InchPerSecond	NA	
inchPerWeek	Inch per Week	Linear velocity	in/week	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	inpweek
kilometerPerHour	Kilometer per Hour	Linear velocity	km/hr	http://qudt.org/vocab/unit#KilometerPerHour; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	kmphr
kilometerPerSecond	Kilometer per Second	Linear velocity	km/s	http://qudt.org/vocab/unit#KilometerPerSecond	NA	kmps
knot	Knot	Linear velocity	kn_i	http://qudt.org/vocab/unit#Knot; http://unitsofmeasure.org/ucum.html#para-34; http://www.unidata.ucar.edu/software/udunits/	NA	kni
knot,British	Knot, British	Linear velocity	kn_br	http://unitsofmeasure.org/ucum.html#para-36	NA	knbr
meterPerDay	Meter per Day	Linear velocity	m/d	http://environment.data.gov.au/def/unit/MeterPerDay	NA	mpd
